O-D,Player,Player_ID,Team,Injury Description,Body Part,Body Zone,Severity,Incident Date,Year,Games Missed,Games On Injury Report,Surgery,Recovery Timetable,Injured Reserve
D,Amani Oruwariye,AO-0575,Detroit Lions,back strain,back,upper body,Low Severity,Week 1,2022,1,1,,,
D,Azeez Ojulari,AO-1120,New York Giants,calf strain,calf,lower body,Low Severity,Preseason,2022,2,2,,,
D,Azeez Ojulari,AO-1120,New York Giants,calf strain,calf,lower body,High Severity,Week 4,2022,7,7,,,IR
D,Azeez Ojulari,AO-1120,New York Giants,ankle sprain,ankle,lower body,Low Severity,Week 16,2022,1,2,,,
D,Azeez Ojulari,AO-1120,New York Giants,quad strain,quad,lower body,Low Severity,Postseason,2022,,1,,,
D,Adetokunbo Ogundeji,AO-7397,Atlanta Falcons,shoulder strain,shoulder,upper body,Low Severity,Week 5,2022,1,1,,,
D,Amen Ogbongbemiga,AO-9499,Los Angeles Chargers,groin strain,groin,lower body,Low Severity,Week 7,2022,,1,,,
D,Aaron Patrick,AP-0111,Denver Broncos,concussion,head,upper body,Low Severity,Week 4,2022,1,1,,,
D,Aaron Patrick,AP-0111,Denver Broncos,ACL tear,knee,lower body,High Severity,Week 6,2022,11,11,ACL reconstruction surgery,4-6 months,IR
D,A.J. Parker,AP-0238,Detroit Lions,hip strain,hip,lower body,Low Severity,Week 8,2022,1,1,,,
O,Andrus Peat,AP-0450,New Orleans Saints,concussion,head,upper body,Low Severity,Week 3,2022,1,2,,,
O,Andrus Peat,AP-0450,New Orleans Saints,pectoral strain,chest,upper body,Low Severity,Week 6,2022,1,2,,,
O,Andrus Peat,AP-0450,New Orleans Saints,triceps strain,triceps,upper body,Low Severity,Week 9,2022,2,3,,,
O,Andrus Peat,AP-0450,New Orleans Saints,ankle sprain,ankle,lower body,Low Severity,Week 17,2022,1,1,,,
O,Alec Pierce,AP-0996,Indianapolis Colts,concussion,head,upper body,Low Severity,Week 1,2022,1,1,,,
O,Alec Pierce,AP-0996,Indianapolis Colts,undisclosed injury,leg,lower body,Medium Severity,Preseason,2022,,,,,
D,Adrian Phillips,AP-1050,New England Patriots,rib injury,rib,upper body,Low Severity,Week 1,2022,1,4,,,
O,Armani Rogers,AR-0118,Washington Commanders,knee sprain,knee,lower body,Low Severity,Week 10,2022,1,1,,,
D,A'Shawn Robinson,AR-1115,Los Angeles Rams,meniscus tear,knee,lower body,High Severity,Week 11,2022,7,7,,,IR
O,Allen Robinson,AR-1250,Los Angeles Rams,ankle sprain,ankle,lower body,Low Severity,Week 11,2022,1,1,,,
O,Allen Robinson,AR-1250,Los Angeles Rams,foot stress fracture,foot,lower body,Medium Severity,Week 11,2022,6,6,foot repair surgery,4-6 months,IR
D,Alton Robinson,AR-1262,Seattle Seahawks,PCL sprain,knee,lower body,Medium Severity,Preseason,2022,4,4,,,IR
D,Aaron Robinson,AR-5246,New York Giants,knee sprain,knee,lower body,Medium Severity,Week 4,2022,4,4,,,IR
O,Amari Rodgers,AR-9961,Houston Texans,hamstring strain,hamstring,lower body,Low Severity,Week 9,2022,1,1,,,
O,Austin Schlottmann,AS-0350,Minnesota Vikings,fibula fracture,fibula,lower body,High Severity,Week 17,2022,2,2,fibula repair surgery,6-9 months,IR
O,Adam Shaheen,AS-0775,Miami Dolphins,undisclosed injury,leg,lower body,High Severity,Preseason,2022,17,17,,,IR
O,Aaron Stinnie,AS-3575,Tampa Bay Buccaneers,ACL and MCL tear,knee,lower body,High Severity,Preseason,2022,17,17,ACL & MCL reconstruction surgery,9-12 months,IR
O,Anthony Schwartz,AS-9961,Cleveland Browns,knee strain,knee,lower body,Low Severity,Preseason,2022,,,,,
O,Anthony Schwartz,AS-9961,Cleveland Browns,concussion,head,upper body,Medium Severity,Week 13,2022,4,4,,,IR
O,Amon-Ra St. Brown,AS-9964,Detroit Lions,right ankle sprain,ankle,lower body,Low Severity,Week 3,2022,1,2,,,
O,Amon-Ra St. Brown,AS-9964,Detroit Lions,concussion,head,upper body,Low Severity,Week 7,2022,,1,,,
D,A.J. Terrell,AT-0282,Atlanta Falcons,hamstring strain,hamstring,lower body,Low Severity,Week 7,2022,3,4,,,
O,Adam Trautman,AT-1068,New Orleans Saints,ankle sprain,ankle,lower body,Low Severity,Week 6,2022,2,2,,,
O,Adam Trautman,AT-1068,New Orleans Saints,ankle sprain,ankle,lower body,Low Severity,Week 13,2022,,1,,,
O,Adam Trautman,AT-1068,New Orleans Saints,ankle sprain,ankle,lower body,Low Severity,Week 15,2022,,1,,,
D,Ambry Thomas,AT-2384,San Francisco 49ers,ankle sprain,ankle,lower body,Medium Severity,Week 14,2022,3,6,,,
D,Alontae Taylor,AT-4502,New Orleans Saints,knee sprain,knee,lower body,Medium Severity,Week 2,2022,4,4,,,IR
D,Alontae Taylor,AT-4502,New Orleans Saints,hip strain,hip,lower body,Low Severity,Week 1,2022,,1,,,
O,Alijah Vera-Tucker,AV-3636,New York Jets,triceps tear,triceps,upper body,Medium Severity,Week 7,2022,4,4,,,IR
D,Anthony Walker,AW-0262,Cleveland Browns,knee injury,knee,lower body,Low Severity,Week 3,2022,,,,,
D,Armani Watts,AW-0650,Indianapolis Colts,ankle sprain,ankle,lower body,High Severity,Preseason,2022,17,17,,,IR
O,Antoine Wesley,AW-0882,Arizona Cardinals,hip strain,hip,lower body,Medium Severity,Preseason,2022,4,4,,,IR
D,Antoine Winfield,AW-1806,Tampa Bay Buccaneers,concussion,head,upper body,Low Severity,Week 7,2022,2,2,,,
D,Antoine Winfield,AW-1806,Tampa Bay Buccaneers,ankle sprain,ankle,lower body,Low Severity,Week 12,2022,2,5,,,
D,ArDarius Washington,AW-1812,Baltimore Ravens,broken foot rehabilitation,foot,lower body,Low Severity,Preseason,2022,,,,,
D,Andrew Wingard,AW-1818,Jacksonville Jaguars,shoulder strain,shoulder,upper body,Low Severity,Week 14,2022,,4,,,
D,Ahkello Witherspoon,AW-1850,Pittsburgh Steelers,hamstring strain,hamstring,lower body,High Severity,Week 3,2022,7,7,,,
D,Al Woods,AW-1900,Seattle Seahawks,knee sprain,knee,lower body,Low Severity,Week 5,2022,1,1,,,
D,Al Woods,AW-1900,Seattle Seahawks,achilles strain,achilles,lower body,Low Severity,Week 14,2022,2,3,,,
O,Brian Allen,BA-0575,Los Angeles Rams,knee sprain,knee,lower body,Medium Severity,Week 1,2022,5,7,knee procedure,2-4 weeks,
O,Brian Allen,BA-0575,Los Angeles Rams,thumb sprain,thumb,upper body,Low Severity,Week 10,2022,2,3,,,
O,Brian Allen,BA-0575,Los Angeles Rams,knee sprain,knee,lower body,Low Severity,Week 14,2022,,1,,,
O,Brian Allen,BA-0575,Los Angeles Rams,calf strain,calf,lower body,Medium Severity,Week 15,2022,3,3,,,IR
D,Brian Asamoah,BA-7371,Minnesota Vikings,knee sprain,knee,lower body,Low Severity,Week 17,2022,1,1,,,
D,Budda Baker,BB-0550,Arizona Cardinals,high-ankle sprain,ankle,lower body,Low Severity,Week 8,2022,,2,,,
D,Budda Baker,BB-0550,Arizona Cardinals,shoulder fracture,shoulder,upper body,Medium Severity,Week 16,2022,2,2,,,
O,Ben Bartch,BB-1075,Jacksonville Jaguars,dilocated knee & ligament damage,knee,lower body,High Severity,Week 5,2022,12,12,,,IR
O,Blake Bell,BB-1550,Kansas City Chiefs,hip flexor strain,hip,lower body,High Severity,Preseason,2022,15,15,hip flexor repair surgery,2-4 weeks,IR
O,Braxton Berrios,BB-1950,New York Jets,heel strain,heel,lower body,Low Severity,Week 1,2022,,1,,,
O,Brandon Bolden,BB-2250,Las Vegas Raiders,hamstring strain,hamstring,lower body,Low Severity,Week 1,2022,1,1,,,
O,Bradley Bozeman,BB-2552,Carolina Panthers,ankle sprain,leg,lower body,Low Severity,Preseason,2022,,,,,
O,Blake Brandel,BB-2706,Minnesota Vikings,partially torn MCL,knee,lower body,Medium Severity,Week 14,2022,4,4,,,IR
O,Ben Bredeson,BB-2718,New York Giants,knee sprain,knee,lower body,Medium Severity,Week 7,2022,5,5,,,IR
D,Brian Burns,BB-3875,Carolina Panthers,ankle sprain,ankle,lower body,Low Severity,Week 17,2022,1,1,,,
D,Baron Browning,BB-9428,Denver Broncos,hip strain,hip,lower body,Medium Severity,Week 7,2022,2,2,,,
D,Baron Browning,BB-9428,Denver Broncos,back strain,back,upper body,Low Severity,Week 16,2022,1,1,,,
D,Bryce Callahan,BC-0150,Los Angeles Chargers,groin strain,groin,lower body,Low Severity,Week 13,2022,1,2,,,
D,Blake Cashman,BC-0625,Houston Texans,concussion,head,upper body,Low Severity,Week 4,2022,1,1,,,
D,Bradley Chubb,BC-1125,Miami Dolphins,knee sprain,knee,lower body,Low Severity,Week 15,2022,,1,,,
D,Bradley Chubb,BC-1125,Miami Dolphins,ankle sprain,ankle,lower body,Low Severity,Week 16,2022,1,3,,,
D,Bradley Chubb,BC-1125,Miami Dolphins,hand injury,hand,upper body,Low Severity,Week 16,2022,,,,,
D,Bryan Cook,BC-2227,Kansas City Chiefs,concussion,head,upper body,Low Severity,Week 5,2022,1,1,,,
O,Brandin Cooks,BC-2325,Houston Texans,calf strain,calf,lower body,Medium Severity,Week 12,2022,3,4,,,
O,Ben Cleveland,BC-4219,Baltimore Ravens,foot sprain,foot,lower body,Medium Severity,Week 4,2022,3,3,,,
D,Bud Dupree,BD-1200,Tennessee Titans,hip strain,hip,lower body,Medium Severity,Week 2,2022,4,4,,,
D,Bud Dupree,BD-1200,Tennessee Titans,pectoral strain,chest,upper body,Low Severity,Week 16,2022,1,1,,,
O,Bryan Edwards,BE-0250,Kansas City Chiefs,arm injury,arm,upper body,Low Severity,Preseason,2022,,,,,
O,Ben Ellefson,BE-0325,Minnesota Vikings,groin strain,groin,lower body,Medium Severity,Week 12,2022,5,5,,,IR
D,Brandin Echols,BE-8078,New York Jets,hamstring strain,hamstring,lower body,Low Severity,Week 3,2022,,1,,,
D,Brandin Echols,BE-8078,New York Jets,quad strain,quad,lower body,Medium Severity,Week 14,2022,4,4,,,IR
D,Brandon Facyson,BF-0050,Indianapolis Colts,concussion,head,upper body,Low Severity,Week 17,2022,,1,,,
O,Brian Hoyer,BH-1900,New England Patriots,concussion,head,upper body,Low Severity,Week 4,2022,,,,,
O,Breece Hall,BH-2913,New York Jets,ACL tear,knee,lower body,High Severity,Week 7,2022,10,10,ACL reconstruction surgery,4-6 months,IR
O,Brandon Johnson,BJ-0112,Denver Broncos,high-ankle sprain,ankle,lower body,High Severity,Preseason,2022,17,17,,,IR
O,Brenden Jaimes,BJ-0113,Los Angeles Chargers,shoulder strain,shoulder,upper body,Low Severity,Week 9,2022,,1,,,
O,Ben Jones,BJ-1950,Tennessee Titans,concussion,head,upper body,Low Severity,Week 11,2022,2,2,,,
O,Ben Jones,BJ-1950,Tennessee Titans,concussion,head,upper body,Medium Severity,Week 15,2022,3,3,,,IR
D,Brandon Jones,BJ-2225,Miami Dolphins,chest strain,chest,upper body,Low Severity,Week 3,2022,,1,,,
D,Brandon Jones,BJ-2225,Miami Dolphins,ACL tear,knee,lower body,High Severity,Week 7,2022,10,10,,,IR
D,Byron Jones,BJ-2350,Miami Dolphins,ankle surgery rehabilitation,ankle,lower body,Medium Severity,Preseason,2022,4,4,,,IR
D,Patrick Johnson,BJ-5243,Philadelphia Eagles,concussion,head,upper body,Low Severity,Week 4,2022,1,1,,,
O,Brevin Jordan,BJ-9947,Houston Texans,ankle sprain,ankle,lower body,Low Severity,Week 1,2022,,1,,,
O,Brevin Jordan,BJ-9947,Houston Texans,ankle sprain,ankle,lower body,Medium Severity,Week 2,2022,3,4,,,
O,Baker Mayfield,BM-0650,Los Angeles Rams,high-ankle sprain,ankle,lower body,Low Severity,Week 5,2022,2,2,,,
D,Byron Murphy,BM-3687,Arizona Cardinals,groin strain,groin,lower body,Low Severity,Week 5,2022,,1,,,
D,Byron Murphy,BM-3687,Arizona Cardinals,back strain,back,upper body,Low Severity,Week 7,2022,,1,,,
D,Byron Murphy,BM-3687,Arizona Cardinals,back strain,back,upper body,High Severity,Week 9,2022,8,8,,,IR
D,Bilal Nichols,BN-0450,Las Vegas Raiders,undisclosed injury,leg,lower body,Low Severity,Preseason,2022,,,,,
D,Bilal Nichols,BN-0450,Las Vegas Raiders,shoulder sprain,shoulder,upper body,Low Severity,Week 2,2022,,1,,,
O,Brian O'Neill,BO-0050,Minnesota Vikings,partially torn achilles tendon,achilles,lower body,High Severity,Week 17,2022,2,2,Achilles tendon repair surgery,6-9 months,IR
O,Brandon Parker,BP-0025,Las Vegas Raiders,triceps strain,triceps,upper body,High Severity,Preseason,2022,17,17,,,IR
O,Breshad Perriman,BP-0450,Tampa Bay Buccaneers,knee sprain,knee,lower body,Medium Severity,Week 1,2022,4,4,,,
O,Breshad Perriman,BP-0450,Tampa Bay Buccaneers,hamstring strain,hamstring,lower body,Low Severity,Week 3,2022,,,,,
O,Brandon Powell,BP-1225,Los Angeles Rams,ankle sprain,ankle,lower body,Low Severity,Week 7,2022,,1,,,
D,Bobby Price,BP-1275,Detroit Lions,knee sprain,knee,lower body,Medium Severity,Week 5,2022,4,4,,,IR
O,Brock Purdy,BP-1362,San Francisco 49ers,rib & oblique strain,abdomen,upper body,Low Severity,Week 14,2022,,1,,,
O,Byron Pringle,BP-1375,Chicago Bears,quad strain,quad,lower body,Low Severity,Preseason,2022,,,,,
D,Bradley Roby,BR-1050,New Orleans Saints,ankle sprain,ankle,lower body,Medium Severity,Week 7,2022,4,4,,,IR
D,Bradley Roby,BR-1050,New Orleans Saints,concussion,head,upper body,Low Severity,Week 12,2022,1,1,,,
D,Bravvion Roy,BR-1490,Carolina Panthers,hamstring strain,hamstring,lower body,Medium Severity,Week 2,2022,4,4,,,IR
O,Brian Robinson,BR-2976,Washington Commanders,thigh strain and MCL sprain,leg,lower body,Medium Severity,Week 17,2022,1,1,,,
O,Bernhard Raimann,BR-6239,Indianapolis Colts,ankle sprain,ankle,lower body,Low Severity,Week 2,2022,1,2,,,
D,Brenden Schooler,BS-0123,New England Patriots,hip strain,hip,lower body,Low Severity,Week 17,2022,1,1,,,
D,Brennan Scarlett,BS-0850,Miami Dolphins,undisclosed injury,leg,lower body,High Severity,Preseason,2022,17,17,,,IR
D,Brandon Scherff,BS-0950,Jacksonville Jaguars,abdomen strain,abdomen,upper body,Low Severity,Week 14,2022,,6,,,
O,Boston Scott,BS-1450,Philadelphia Eagles,concussion,head,upper body,Low Severity,Preseason,2022,,,,,
O,Boston Scott,BS-1450,Philadelphia Eagles,rib strain,rib,upper body,Low Severity,Week 3,2022,1,2,,,
O,Brandon Shell,BS-1750,Miami Dolphins,knee strain,knee,lower body,Low Severity,Week 18,2022,1,1,,,
O,Brandon Shell,BS-1750,Miami Dolphins,ankle sprain,ankle,lower body,Low Severity,Week 18,2022,,,,,
O,Braden Smith,BS-2450,Indianapolis Colts,back strain,back,upper body,Low Severity,Week 10,2022,,1,,,
D,Benjamin St-Juste,BS-3910,Washington Commanders,ankle sprain,ankle,lower body,Medium Severity,Week 11,2022,3,4,,,
D,Benjamin St-Juste,BS-3910,Washington Commanders,ankle sprain,ankle,lower body,Medium Severity,Week 16,2022,2,2,,,IR
D,Brandon Stephens,BS-5333,Baltimore Ravens,quad strain,quad,lower body,Low Severity,Week 1,2022,1,2,,,
O,Ben Skowronek,BS-9961,Los Angeles Rams,calf strain,calf,lower body,Medium Severity,Week 15,2022,3,3,,,IR
D,Brandon Smith,BS-9986,Dallas Cowboys,thigh strain,quad,lower body,Low Severity,Preseason,2022,1,2,,,
D,Brandon Smith,BS-9986,Dallas Cowboys,ankle sprain,ankle,lower body,Medium Severity,Week 14,2022,4,4,,,IR
O,Brett Toth,BT-0925,Philadelphia Eagles,knee surgery rehabilitation,knee,lower body,Medium Severity,Preseason,2022,,,,,
O,Billy Turner,BT-1250,Denver Broncos,knee sprain,knee,lower body,Medium Severity,Preseason,2022,5,5,,,
O,Billy Turner,BT-1250,Denver Broncos,knee sprain,knee,lower body,Medium Severity,Week 10,2022,4,4,,,IR
O,Billy Turner,BT-1250,Denver Broncos,back strain,back,upper body,Low Severity,Week 17,2022,,1,,,
D,Brandon Wilson,BW-2550,Cincinnati Bengals,surgery rehabilitation,knee,lower body,Medium Severity,Preseason,2022,4,4,,,IR
D,Christopher Allen,CA-0110,Denver Broncos,foot strain,foot,lower body,High Severity,Preseason,2022,17,17,,,IR
O,Cam Akers,CA-0325,Los Angeles Rams,soft-tissue injury,leg,lower body,Low Severity,Preseason,2022,,,,,
O,Calvin Anderson,CA-0775,Denver Broncos,ankle sprain,ankle,lower body,Medium Severity,Week 15,2022,3,3,,,
D,Cornell Armstrong,CA-1168,Atlanta Falcons,undisclosed injury,leg,lower body,High Severity,Preseason,2022,17,17,,,IR
D,Chidobe Awuzie,CA-1350,Cincinnati Bengals,ACL tear,knee,lower body,High Severity,Week 8,2022,9,9,ACL reconstruction surgery,4-6 months,IR
O,Calvin Austin,CA-9961,Pittsburgh Steelers,foot sprain,foot,lower body,Medium Severity,Preseason,2022,4,4,,,IR
D,Christian Benford,CB-0111,Buffalo Bills,hand fracture,hand,upper body,Low Severity,Week 3,2022,2,2,,,
O,C.J. Beathard,CB-1145,Jacksonville Jaguars,groin strain,groin,lower body,Low Severity,Preseason,2022,,,,,
O,C.J. Board,CB-1750,Tennesee Titans,rib injury,rib,upper body,Medium Severity,Week 13,2022,5,5,,,IR
D,Chris Board,CB-1775,Detroit Lions,knee sprain,knee,lower body,Low Severity,Week 4,2022,,2,,,
O,Cameron Brate,CB-2775,Tampa Bay Buccaneers,concussion,head,upper body,Low Severity,Week 4,2022,1,1,,,
O,Cameron Brate,CB-2775,Tampa Bay Buccaneers,neck strain,neck,upper body,Medium Severity,Week 6,2022,3,4,,,
